paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
201,candidate_strategy_v1,observation_only,spf,D,0.30821587363539094,3.25,0.001701589315020513,0.001701589315020513,85.0,赔率异常,1.0,0,-1.0
202,candidate_strategy_v1,observation_only,spf,D,0.28895321978683636,3.5,0.011336269253927167,0.011336269253927167,85.0,赔率异常,1.0,0,-1.0
203,candidate_strategy_v1,observation_only,spf,D,0.28920686096538806,3.5,0.012224013378858256,0.012224013378858256,85.0,赔率异常,1.0,0,-1.0
204,candidate_strategy_v1,observation_only,spf,D,0.31369305317476476,3.2,0.0038177701592472246,0.0038177701592472246,85.0,赔率异常,1.0,0,-1.0
205,candidate_strategy_v1,observation_only,spf,D,0.2635914262076944,3.8,0.0016474195892386412,0.0016474195892386412,85.0,赔率异常,1.0,0,-1.0
206,candidate_strategy_v1,observation_only,spf,D,0.28107283627391966,3.6,0.01186221058611081,0.01186221058611081,85.0,赔率异常,1.0,0,-1.0
207,candidate_strategy_v1,observation_only,spf,D,0.28759416244240793,3.5,0.006579568548427783,0.006579568548427783,85.0,赔率异常,1.0,0,-1.0
208,candidate_strategy_v1,observation_only,spf,D,0.29529000855616416,3.4,0.003986029090958132,0.003986029090958132,85.0,赔率异常,1.0,0,-1.0
209,candidate_strategy_v1,observation_only,spf,D,0.30799725664683764,3.25,0.0009910841022222616,0.0009910841022222616,85.0,赔率异常,1.0,0,-1.0
210,candidate_strategy_v1,observation_only,spf,D,0.304240161415136,3.3,0.003992532669948812,0.003992532669948812,85.0,赔率异常,1.0,0,-1.0
211,candidate_strategy_v1,observation_only,spf,D,0.281050160865024,3.6,0.011780579114086365,0.011780579114086365,85.0,赔率异常,1.0,0,-1.0
212,candidate_strategy_v1,observation_only,spf,D,0.29443167823093,3.4,0.0010677059851620374,0.0010677059851620374,85.0,赔率异常,1.0,1,2.4
213,candidate_strategy_v1,observation_only,spf,D,0.2867170500380234,3.5,0.0035096751330818687,0.0035096751330818687,85.0,赔率异常,1.0,0,-1.0
214,candidate_strategy_v1,observation_only,spf,D,0.28796321632540994,3.5,0.007871257138934773,0.007871257138934773,85.0,赔率异常,1.0,1,2.5
215,candidate_strategy_v1,observation_only,spf,D,0.2890252412688073,3.5,0.011588344440825571,0.011588344440825571,85.0,赔率异常,1.0,0,-1.0
216,candidate_strategy_v1,observation_only,spf,D,0.2950531768093654,3.4,0.003180801151842161,0.003180801151842161,85.0,赔率异常,1.0,0,-1.0
217,candidate_strategy_v1,observation_only,spf,D,0.2859214527511864,3.5,0.0007250846291524393,0.0007250846291524393,85.0,赔率异常,1.0,0,-1.0
218,candidate_strategy_v1,observation_only,spf,D,0.2859808772866115,3.5,0.0009330705031400655,0.0009330705031400655,85.0,赔率异常,1.0,0,-1.0
